Professor Name,Main Website,Sub Links
Professor Name,Research Website ,[]
Houssam Abbas,http://www.houssamabbas.com/,"['http://www.houssamabbas.com/', 'http://www.houssamabbas.com/teaching/', 'http://www.houssamabbas.com/research/', 'http://www.houssamabbas.com.dream.website', 'http://www.houssamabbas.com/outreach/', 'http://www.houssamabbas.com/publications-directory/']"
Julie A. Adams,https://research.engr.oregonstate.edu/hmtl/,"['http://calendar.oregonstate.edu', 'http://oregonstate.edu/main/online-services', 'http://oregonstate.edu/campusmap', 'https://research.engr.oregonstate.edu/hmtl/people', 'https://research.engr.oregonstate.edu/hmtl/media-coverage', 'https://research.engr.oregonstate.edu/hmtl/work-with-us', 'http://osulibrary.oregonstate.edu', 'https://securelb.imodules.com/s/359/campaign/index.aspx?sid=359&gid=34&pgid=1982&cid=3007', 'https://research.engr.oregonstate.edu/hmtl/research', 'https://research.engr.oregonstate.edu/hmtl/search/google', 'https://scholar.google.com/citations?hl=en&user=5TzQdR4AAAAJ&view_op=list_works&sortby=pubdate', 'https://research.engr.oregonstate.edu/hmtl/']"
Alireza Aghasi,https://sites.google.com/view/aghasi/about?authuser=0,"['https://sites.google.com/view/aghasi/software-code', 'https://sites.google.com/view/aghasi/about', 'https://sites.google.com/view/aghasi/research', 'https://sites.google.com/view/aghasi/publication']"
Lizhong Chen,https://web.engr.oregonstate.edu/~chenliz/,"['https://web.engr.oregonstate.edu/~chenliz/miscellaneous.html', 'https://web.engr.oregonstate.edu/~chenliz/publications.html', 'https://web.engr.oregonstate.edu/~chenliz/software.html', 'https://web.engr.oregonstate.edu/~chenliz/research.html', 'https://web.engr.oregonstate.edu/~chenliz/people.html', 'https://web.engr.oregonstate.edu/~chenliz/news.html', 'https://web.engr.oregonstate.edu/~chenliz/index.html', 'https://web.engr.oregonstate.edu/~chenliz/teaching.html']"
Jason Clark,-,[]
Thomas G. Dietterich,https://web.engr.oregonstate.edu/~tgd/,[]
Patrick Donnelly,https://soundbendor.org/,"['https://soundbendor.org/projects/', 'https://soundbendor.org/publications/', 'https://soundbendor.org/', 'https://soundbendor.org/news/', 'https://soundbendor.org/team/', 'https://soundbendor.org/apply/', 'https://soundbendor.org/about/']"
Jana Doppa,https://eecs.wsu.edu/~jana/,[]
Alan Fern,https://mime.engineering.oregonstate.edu/research/drl/,"['https://mime.engineering.oregonstate.edu/research/drl/people.html', 'https://mime.engineering.oregonstate.edu/research/drl/contact.html', 'https://mime.engineering.oregonstate.edu/research/drl/research.html', 'https://mime.engineering.oregonstate.edu/research/drl/publications.html', 'https://www.oregonstate.edu', 'https://mime.engineering.oregonstate.edu/research/drl/index.html']"
David Hendrix,https://hendrixlab.cgrb.oregonstate.edu/,[]
Sanghyun Hong,https://sanghyun-hong.com/,"['https://sanghyun-hong.com/services.html', 'https://sanghyun-hong.com/papers.html', 'https://sanghyun-hong.com/index.html', 'https://sanghyun-hong.com/students.html', 'https://sanghyun-hong.com/docs/Hong_CV.pdf', 'https://osu-explorecsr.github.io', 'https://arxiv.org/abs/2204.00032']"
Liang Huang,https://web.engr.oregonstate.edu/~huanlian/,[]
